,,2010-01-04 00:00:00
Adj Close,AMN,9.430000305175781
Adj Close,AMNB,14.602799415588379
Adj Close,AMOT,1.5693581104278564
Adj Close,AMOV,18.367603302001953
Adj Close,AMP,30.130455017089844
Adj Close,AMPE,
Adj Close,AMPG,
Adj Close,AMPH,
Adj Close,AMPL,
Adj Close,AMPS,
Adj Close,AMPX,
Adj Close,AMPY,
Adj Close,AMR,
Adj Close,AMRC,
Adj Close,AMRK,
Adj Close,AMRN,1.3799999952316284
Adj Close,AMRS,
Adj Close,AMRX,
Adj Close,AMS,2.8299999237060547
Adj Close,AMSC,421.5
Adj Close,AMSF,11.143404960632324
Adj Close,AMST,
Adj Close,AMSWA,3.5872650146484375
Adj Close,AMT,35.165313720703125
Adj Close,AMTB,
Adj Close,AMTD,
Adj Close,AMTI,
Adj Close,AMTX,0.4749999940395355
Adj Close,AMV,
Adj Close,AMWD,20.06142807006836
Adj Close,AMWL,
Adj Close,AMX,19.208349227905273
Adj Close,AMYT,
Adj Close,AMZN,6.695000171661377
Adj Close,AN,19.270000457763672
Adj Close,ANAB,
Adj Close,ANAC,
Adj Close,ANDE,14.22674560546875
Adj Close,ANEB,
Adj Close,ANET,
Adj Close,ANF,25.434513092041016
Adj Close,ANGH,
Adj Close,ANGHW,
Adj Close,ANGI,
Adj Close,ANGN,
Adj Close,ANGO,16.25
Adj Close,ANIK,7.559999942779541
Adj Close,ANIP,55.79999923706055
Adj Close,ANIX,15.5
Adj Close,ANNX,
Adj Close,ANPC,
Adj Close,ANSS,44.63999938964844
Adj Close,ANTE,164.0
Adj Close,ANTX,
Adj Close,ANVS,
Adj Close,ANY,
Adj Close,ANZU,
Adj Close,ANZUU,
Adj Close,ANZUW,
Adj Close,AOD,5.48468017578125
Adj Close,AOGO,
Adj Close,AOMR,
Adj Close,AON,33.02229690551758
Adj Close,AORT,6.650000095367432
Adj Close,AOS,6.1531805992126465
Adj Close,AOSL,
Adj Close,AOUT,
Adj Close,AP,24.71133804321289
Adj Close,APA,88.1603012084961
Adj Close,APAC,
Adj Close,APACW,
Adj Close,APAM,
Adj Close,APCX,
Adj Close,APCXW,
Adj Close,APD,55.51646041870117
Adj Close,APDN,168.0
Adj Close,APE,
Adj Close,APEI,34.79999923706055
Adj Close,APEN,404.25
Adj Close,APG,
Adj Close,APGB,
Adj Close,APGN,
Adj Close,APGNW,
Adj Close,APH,10.346436500549316
Adj Close,API,
Adj Close,APLD,
Adj Close,APLE,
Adj Close,APLS,
Adj Close,APLT,
Adj Close,APM,
Adj Close,APMI,
Adj Close,APMIU,
Adj Close,APN,
Adj Close,APO,
Adj Close,APOG,11.529781341552734
Adj Close,APP,
Adj Close,APPF,
Adj Close,APPH,
Adj Close,APPHW,
Adj Close,APPN,
Adj Close,APPS,1.899999976158142
Adj Close,APRE,
Adj Close,APRN,
Adj Close,APT,4.550000190734863
Adj Close,APTM,
Adj Close,APTMW,
Adj Close,APTO,21.600000381469727
Adj Close,APTV,
Adj Close,APTV^A,
Adj Close,APTX,
Adj Close,APVO,
Adj Close,APWC,2.299184799194336
Adj Close,APXI,
Adj Close,APXIU,
Adj Close,APYX,
Adj Close,AQB,
Adj Close,AQMS,
Adj Close,AQN,2.4445629119873047
Adj Close,AQNA,
Adj Close,AQNB,
Adj Close,AQNU,
Adj Close,AQST,
Adj Close,AQU,
Adj Close,AQUA,
Adj Close,AQUNR,
Adj Close,AQUNU,
Adj Close,AR,
Adj Close,ARAV,
Adj Close,ARAY,5.679999828338623
Adj Close,ARBE,
Adj Close,ARBEW,
Adj Close,ARBG,
Adj Close,ARBGW,
Adj Close,ARBK,
Adj Close,ARBKL,
Adj Close,ARC,6.867518424987793
Adj Close,ARCB,25.760679244995117
