,,2020-01-02 00:00:00
Adj Close,APACW,
Adj Close,APAM,27.303178787231445
Adj Close,APCX,0.6499999761581421
Adj Close,APCXW,
Adj Close,APD,221.42620849609375
Adj Close,APDN,4.429999828338623
Adj Close,APE,
Adj Close,APEI,27.459999084472656
Adj Close,APEN,2.9200000762939453
Adj Close,APG,
Adj Close,APGB,
Adj Close,APGN,
Adj Close,APGNW,
Adj Close,APH,53.337318420410156
Adj Close,API,
Adj Close,APLD,
Adj Close,APLE,15.688469886779785
Adj Close,APLS,31.165000915527344
Adj Close,APLT,28.770000457763672
Adj Close,APM,13.65999984741211
Adj Close,APMI,
Adj Close,APMIU,
Adj Close,APN,
Adj Close,APO,43.459739685058594
Adj Close,APOG,31.16505241394043
Adj Close,APP,
Adj Close,APPF,113.48999786376953
Adj Close,APPH,
Adj Close,APPHW,
Adj Close,APPN,38.779998779296875
Adj Close,APPS,7.309999942779541
Adj Close,APRE,45.29999923706055
Adj Close,APRN,6.360000133514404
Adj Close,APT,3.4600000381469727
Adj Close,APTM,
Adj Close,APTMW,
Adj Close,APTO,5.53000020980835
Adj Close,APTV,96.06566619873047
Adj Close,APTV^A,
Adj Close,APTX,3.680000066757202
Adj Close,APVO,9.001999855041504
Adj Close,APWC,1.409999966621399
Adj Close,APXI,
Adj Close,APXIU,
Adj Close,APYX,8.510000228881836
Adj Close,AQB,2.4700000286102295
Adj Close,AQMS,0.7360000014305115
Adj Close,AQN,12.854059219360352
Adj Close,AQNA,25.581754684448242
Adj Close,AQNB,25.94850730895996
Adj Close,AQNU,
Adj Close,AQST,6.03000020980835
Adj Close,AQU,
Adj Close,AQUA,18.90999984741211
Adj Close,AQUNR,
Adj Close,AQUNU,
Adj Close,AR,2.5899999141693115
Adj Close,ARAV,13.390000343322754
Adj Close,ARAY,2.759999990463257
Adj Close,ARBE,
Adj Close,ARBEW,
Adj Close,ARBG,
Adj Close,ARBGW,
Adj Close,ARBK,
Adj Close,ARBKL,
Adj Close,ARC,1.326785683631897
Adj Close,ARCB,27.487573623657227
Adj Close,ARCC,16.076879501342773
Adj Close,ARCE,44.25
Adj Close,ARCH,72.35249328613281
Adj Close,ARCK,
Adj Close,ARCKU,
Adj Close,ARCKW,
Adj Close,ARCO,7.9300537109375
Adj Close,ARCT,10.0
Adj Close,ARDC,12.726431846618652
Adj Close,ARDS,4.550000190734863
Adj Close,ARDX,7.349999904632568
Adj Close,ARE,151.91119384765625
Adj Close,AREB,
Adj Close,AREBW,
Adj Close,AREC,0.6600000262260437
Adj Close,AREN,16.280000686645508
Adj Close,ARES,33.14330291748047
Adj Close,ARGD,23.852947235107422
Adj Close,ARGO,62.98968505859375
Adj Close,ARGO^A,
Adj Close,ARGX,160.4600067138672
Adj Close,ARHS,
Adj Close,ARI,14.27687931060791
Adj Close,ARIS,
Adj Close,ARIZ,
Adj Close,ARKO,10.050999641418457
Adj Close,ARKR,21.691286087036133
Adj Close,ARL,16.329999923706055
Adj Close,ARLO,4.96999979019165
Adj Close,ARLP,10.892184257507324
Adj Close,ARMK,42.23048400878906
Adj Close,ARMP,3.25
Adj Close,ARNC,
Adj Close,AROC,8.463130950927734
Adj Close,AROW,34.66785430908203
Adj Close,ARQQ,
Adj Close,ARQQW,
Adj Close,ARQT,
Adj Close,ARR,14.336174964904785
Adj Close,ARRW,
Adj Close,ARRY,
Adj Close,ARR^C,
Adj Close,ARTE,
Adj Close,ARTL,41.505001068115234
Adj Close,ARTNA,35.313602447509766
Adj Close,ARTW,1.7999999523162842
Adj Close,ARVL,
Adj Close,ARVN,41.439998626708984
Adj Close,ARW,85.79000091552734
Adj Close,ARWR,63.119998931884766
Adj Close,ARYD,
Adj Close,ARYE,
Adj Close,ASA,13.677945137023926
Adj Close,ASAI,
Adj Close,ASAN,
Adj Close,ASAP,6.860000133514404
Adj Close,ASB,20.04817771911621
Adj Close,ASB^E,
Adj Close,ASB^F,
Adj Close,ASC,8.89659595489502
Adj Close,ASCA,
Adj Close,ASCAR,
Adj Close,ASCAU,
Adj Close,ASCAW,
Adj Close,ASCBR,
Adj Close,ASG,5.168474197387695
Adj Close,ASGI,
Adj Close,ASGN,71.19000244140625
Adj Close,ASH,74.4293212890625
Adj Close,ASIX,19.694690704345703
Adj Close,ASLE,10.199999809265137
Adj Close,ASLN,2.0199999809265137
Adj Close,ASM,0.6200000047683716
Adj Close,ASMB,19.899999618530273
Adj Close,ASML,299.2547912597656
Adj Close,ASND,141.1300048828125
Adj Close,ASNS,
Adj Close,ASO,
Adj Close,ASPA,
Adj Close,ASPAW,
Adj Close,ASPI,
Adj Close,ASPN,7.699999809265137
Adj Close,ASPS,19.510000228881836
Adj Close,ASPU,8.319999694824219
Adj Close,ASR,187.56417846679688
Adj Close,ASRT,4.760000228881836
Adj Close,ASRV,3.9827046394348145
Adj Close,ASTC,56.70000076293945
Adj Close,ASTE,41.6193733215332
Adj Close,ASTI,
Adj Close,ASTL,
Adj Close,ASTLW,
Adj Close,ASTR,
Adj Close,ASTS,9.869999885559082
Adj Close,ASTSW,
Adj Close,ASUR,8.279999732971191
Adj Close,ASX,5.215363502502441
Adj Close,ASXC,1.5099999904632568
Adj Close,ASYS,7.260000228881836
Adj Close,ATAI,
Adj Close,ATAKR,
Adj Close,ATAQ,
Adj Close,ATAT,
Adj Close,ATCO,12.723357200622559
Adj Close,ATCOL,
Adj Close,ATCO^D,
Adj Close,ATCO^H,
Adj Close,ATCO^I,
Adj Close,ATCX,10.180999755859375
Adj Close,ATEC,6.96999979019165
Adj Close,ATEK,
Adj Close,ATEN,6.882395267486572
Adj Close,ATER,5.559999942779541
Adj Close,ATEX,42.7599983215332
Adj Close,ATGE,34.689998626708984
Adj Close,ATHA,
Adj Close,ATHE,7.699999809265137
Adj Close,ATHM,82.84452819824219
Adj Close,ATHX,31.0
Adj Close,ATH^A,
Adj Close,ATH^B,
Adj Close,ATH^C,
Adj Close,ATH^D,
Adj Close,ATH^E,
Adj Close,ATI,20.600000381469727
Adj Close,ATIF,1.9299999475479126
Adj Close,ATIP,
Adj Close,ATKR,40.310001373291016
Adj Close,ATLC,9.140000343322754
Adj Close,ATLCL,
Adj Close,ATLCP,
Adj Close,ATLO,25.710615158081055
Adj Close,ATMCU,
Adj Close,ATMVU,
Adj Close,ATNF,213.8800048828125
Adj Close,ATNFW,
Adj Close,ATNI,55.248390197753906
Adj Close,ATNM,7.139999866485596
Adj Close,ATNX,15.800000190734863
Adj Close,ATO,104.39473724365234
Adj Close,ATOM,3.1600000858306885
Adj Close,ATOS,1.590000033378601
Adj Close,ATR,110.69300079345703
Adj Close,ATRA,16.40999984741211
Adj Close,ATRC,33.06999969482422
Adj Close,ATRI,727.2637939453125
Adj Close,ATRO,27.959999084472656
Adj Close,ATSG,23.459999084472656
Adj Close,ATTO,15.1010103225708
Adj Close,ATUS,28.100000381469727
Adj Close,ATVI,57.98603057861328
Adj Close,ATXG,4.099999904632568
Adj Close,ATXI,133.5
Adj Close,ATXS,36.41999816894531
Adj Close,ATY,1.0429999828338623
Adj Close,AU,21.99831199645996
Adj Close,AUB,35.787899017333984
Adj Close,AUBAP,
Adj Close,AUBN,50.23457717895508
Adj Close,AUD,4.561344623565674
Adj Close,AUDC,25.948383331298828
Adj Close,AUGX,
Adj Close,AUID,
Adj Close,AULT,2.4000000953674316
Adj Close,AULT^D,
Adj Close,AUMN,0.3199999928474426
Adj Close,AUPH,21.459999084472656
Adj Close,AUR,
Adj Close,AURA,
Adj Close,AURC,
Adj Close,AUROW,
Adj Close,AUST,
Adj Close,AUTL,12.960000038146973
Adj Close,AUUD,
Adj Close,AUUDW,
Adj Close,AUVI,
Adj Close,AUVIP,
Adj Close,AUY,3.74941349029541
Adj Close,AVA,43.320125579833984
Adj Close,AVAC,
Adj Close,AVACW,
Adj Close,AVAH,
Adj Close,AVAL,7.802851676940918
Adj Close,AVAV,62.970001220703125
Adj Close,AVB,193.074462890625
Adj Close,AVCT,159.55499267578125
Adj Close,AVCTW,
Adj Close,AVD,18.88412094116211
Adj Close,AVDL,7.409999847412109
Adj Close,AVDX,
Adj Close,AVEO,6.300000190734863
Adj Close,AVGO,303.5400085449219
Adj Close,AVGR,23.799999237060547
Adj Close,AVHI,
Adj Close,AVHIU,
Adj Close,AVID,8.369999885559082
Adj Close,AVIR,
Adj Close,AVK,11.922272682189941
Adj Close,AVNS,34.0099983215332
Adj Close,AVNT,35.35547637939453
Adj Close,AVNW,7.144999980926514
Adj Close,AVO,
Adj Close,AVPT,9.869999885559082
Adj Close,AVPTW,
Adj Close,AVRO,20.610000610351562
Adj Close,AVT,41.07841491699219
Adj Close,AVTE,
Adj Close,AVTR,18.450000762939453
Adj Close,AVTX,60.36000061035156
Adj Close,AVXL,2.869999885559082
Adj Close,AVY,124.76365661621094
Adj Close,AVYA,13.029999732971191
Adj Close,AWF,10.355703353881836
Adj Close,AWH,0.8199999928474426
Adj Close,AWI,93.40983581542969
Adj Close,AWK,116.22151184082031
Adj Close,AWP,5.360101699829102
Adj Close,AWR,82.74178314208984
Adj Close,AWRE,3.4000000953674316
Adj Close,AWX,1.9600000381469727
Adj Close,AX,30.040000915527344
Adj Close,AXAC,
Adj Close,AXDX,17.020000457763672
Adj Close,AXGN,17.34000015258789
Adj Close,AXL,10.970000267028809
Adj Close,AXLA,4.119999885559082
Adj Close,AXNX,27.520000457763672
Adj Close,AXON,76.55999755859375
Adj Close,AXP,122.33452606201172
Adj Close,AXR,5.949999809265137
Adj Close,AXS,55.29129409790039
Adj Close,AXSM,101.30999755859375
Adj Close,AXS^E,
Adj Close,AXTA,30.649999618530273
Adj Close,AXTI,4.429999828338623
Adj Close,AY,24.2563419342041
Adj Close,AYI,138.3284454345703
Adj Close,AYLA,
Adj Close,AYRO,4.699999809265137
Adj Close,AYTU,208.0
Adj Close,AYX,105.0
Adj Close,AZ,
Adj Close,AZEK,
Adj Close,AZN,46.905189514160156
Adj Close,AZO,1189.739990234375
Adj Close,AZPN,124.94000244140625
Adj Close,AZRE,12.609999656677246
Adj Close,AZTA,42.900001525878906
Adj Close,AZUL,43.59000015258789
Adj Close,AZYO,
Adj Close,AZZ,43.504817962646484
Adj Close,B,61.321956634521484
Adj Close,BA,331.34857177734375
Adj Close,BABA,219.77000427246094
Adj Close,BAC,33.887874603271484
Adj Close,BACA,
Adj Close,BACK,1.6100000143051147
Adj Close,BAC^B,
Adj Close,BAC^E,
Adj Close,BAC^K,
Adj Close,BAC^L,
Adj Close,BAC^M,
Adj Close,BAC^N,
Adj Close,BAC^O,
Adj Close,BAC^P,
Adj Close,BAC^Q,
Adj Close,BAC^S,
Adj Close,BAFN,
Adj Close,BAH,69.19122314453125
Adj Close,BAK,13.158550262451172
Adj Close,BALL,63.880001068115234
Adj Close,BALY,25.17948341369629
Adj Close,BAM,
Adj Close,BANC,16.50743293762207
Adj Close,BAND,64.22000122070312
Adj Close,BANF,59.82622146606445
Adj Close,BANFP,24.816423416137695
Adj Close,BANR,52.57289123535156
Adj Close,BANX,19.408954620361328
Adj Close,BAOS,
Adj Close,BAP,195.52687072753906
Adj Close,BARK,
Adj Close,BASE,
Adj Close,BATL,13.449999809265137
Adj Close,BATRA,29.56999969482422
Adj Close,BATRK,29.469999313354492
Adj Close,BAX,83.45845794677734
Adj Close,BB,6.519999980926514
Adj Close,BBAI,
Adj Close,BBAR,5.53000020980835
Adj Close,BBBY,15.967110633850098
Adj Close,BBCP,5.489999771118164
Adj Close,BBD,8.574812889099121
Adj Close,BBDC,8.662312507629395
Adj Close,BBDO,8.092453956604004
Adj Close,BBGI,3.0598981380462646
Adj Close,BBIG,1.3945579528808594
Adj Close,BBIO,33.220001220703125
Adj Close,BBLG,
Adj Close,BBLGW,
Adj Close,BBLN,
Adj Close,BBN,21.97732162475586
Adj Close,BBSI,87.93467712402344
Adj Close,BBU,26.435169219970703
Adj Close,BBUC,
Adj Close,BBVA,5.2615861892700195
Adj Close,BBW,2.966348171234131
Adj Close,BBWI,13.887849807739258
Adj Close,BBY,82.88491821289062
Adj Close,BC,58.064918518066406
Adj Close,BCAB,
Adj Close,BCAN,
Adj Close,BCAT,
Adj Close,BCBP,12.303851127624512
Adj Close,BCC,31.603715896606445
Adj Close,BCDA,3.9000000953674316
Adj Close,BCDAW,
Adj Close,BCE,39.89616775512695
Adj Close,BCEL,14.239999771118164
Adj Close,BCH,20.256250381469727
Adj Close,BCLI,4.119999885559082
Adj Close,BCML,22.600000381469727
Adj Close,BCO,89.8691635131836
Adj Close,BCOR,26.0
Adj Close,BCOV,8.729999542236328
Adj Close,BCOW,8.221883773803711
Adj Close,BCPC,102.0838851928711
Adj Close,BCRX,3.4000000953674316
Adj Close,BCS,9.034542083740234
Adj Close,BCSA,
Adj Close,BCSAU,
Adj Close,BCSAW,
Adj Close,BCSF,15.572855949401855
Adj Close,BCTX,9.0
Adj Close,BCTXW,
Adj Close,BCV,20.437061309814453
Adj Close,BCX,7.018691539764404
